Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing ,,150h=4 SWS=56h Präsenzzeit+94h selbständige Arbeit ,Prüfungsordnung: ,,Die Lehrveranstaltung soll das Verständnis für die Funktion des ,"Compileroptimierungen, Werkzeuge für das Debugging und die ",Vorlesung: Klausur 90 min. ,, 
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Technische Informatik ,, , ,,Menschen in Arbeitssystemen entwickeln und zur bewussten ,"Leistungsanalyse, Ansätze zur Datenreduktion sowie ", ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,, ,5 ,,Gestaltung menschgerechter Arbeitssysteme motivieren. Es ,wissenschaftliche Publikationen zu aktuellen Forschungsfragen , ,, 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,Präsenzzeiten: ,Voraussetzungen nach ,,wird ein Überblick über die für die Gestaltung von ,vorgestellt werden. ,Seite 473   Inhaltsverzeichnis ,, 
,,,,,,,,,,,FIN: M.Sc. DKE - Data Processing for Data Science ,,2 SWS wöchentliche Vorlesung ,Prüfungsordnung: ,,Arbeitssystemen besonders relevanten Komponenten , ,     ,, 
,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Fundamentals ,,2 SWS wöchentliche Übung ,Kenntnisse der Technischen Mechanik; Informatik ,,menschlicher Leistungsfähigkeit vermittelt. Kernziel ist die ,Computertomographie: Numerische Lösung von , ,,Seite 218   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Methods II ,,Selbstständiges Arbeiten: ,6 ,,exemplarische Befähigung zur ergonomischen Bewertung von ,GleichungssystemenGesichtserkennung: Singulärwertzerlegung ,Praktikumsschein ,,     
,,,,,,,,,,, ,,Nacharbeiten der Vorlesung ,Voraussetzungen nach ,,Arbeitssituationen und zur menschgerechten Gestaltung von ,Interpolation: Animationen in der Computergraphik , ,, 
,,,,,,,,,,, ,,Bearbeiten der Übungsaufgaben ,Prüfungsordnung: ,,"Arbeitsmitteln, Arbeitsplätzen und Arbeitsabläufen. ",Audioverarbeitung: diskrete Fouriertransformation ,Leistungen: Erfolgreiche Teilnahme am Praktikum ,, 
,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Bildinformationstechnik ,,Prüfungsvorbereitung , ,, ,Nichtlineare Optimierung: Posterize ,Prüfung: mündlich M30 ,,"U. Riefenstahl: Elektrische Antriebssysteme, B.G.Teubner Verlag "
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden des Digital Engineering ,,Bachelor: 5 Credit Points = 150 h (2*28h Präsenzzeit + 94h ,Empfohlene ,, , , ,,"Stuttgart, Leipzig 2000, 2006 "
,,,,,,,,,,, ,,"selbstständige Arbeit), Notenskala gemäß Prüfungsordnung ",Voraussetzungen: ,,Lernziele & zu erwerbende Kompetenzen: , ,Leistungen: erfolgreiche Teilnahme am Praktikum ,,"D. Schröder: Elektrische Antriebe, Bd.1-4, Springer-Verlag, "
,,,,,,,,,,, ,,Master: 6 Credit Points = 180 h (2*28h Präsenzzeit + 124h , ,,Das Modul soll grundlegende Kenntnisse über die soziale und ,Ontologien repräsentieren Wissen in ,Prüfung: mündlich M30 ,,"Berlin, Heidelberg, 1994, 2001 "
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,"selbstständige Arbeit), Zusatzaufgabe im Rahmen der Übung, ",Die Lehrveranstaltung ist geeignet für Studierende der Informatik ,,kulturelle Relevanz interaktiver Medien (z.B. Computerspiele) ,maschineninterpretierbarer und menschenlesbarer Form. Sie , ,,"W. Leonhard: Control of Electrical Drives. Springer-Verlag, "
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,, ,und der ingenieurwissenschaftlicher Studiengänge mit gutem ,,vermitteln. Auf der einen Seite sollen die Studierenden in die ,"haben wichtige Anwendungsgebiete im Semantic Web, ",Erfolgreiche Bearbeitung der Übungs- und ,,"Berlin, Heidelberg, New York,1996 "
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,Präsenzzeiten = 20 h:  ,Informatikwissen ab 1. Mastersemester. Es werden vorausgesetzt: ,,"Lage versetzt werden, verschiedene Arten von Spiel- und ","Interoperabilität, und intelligenten Syste-men im Allgemeinen. ",Programmieraufgaben  ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - Gestalten ,,•20 h Vorlesung  ,Grundkenntnisse über Mikrorechner ,,Edutainmentsoftware zu analysieren und zu evaluieren. Auf der , ,Prüfung: mündlich ,, 
,,,,,,,,,,,Für Freigabe und Zuordnung zu Curricula von interdisziplinären ,,Selbstständiges Arbeiten = 70 h:  ,Grundkenntnisse der Informationstechnik ,,anderen Seite sollen sie Ansätze zur Erklärung der Faszination , , ,, 
,,,,,,,,,,,"Studiengängen und von Studiengängen außerhalb der FIN, s. ",,•20 h Vorbereitung auf die Vorlesung – Lesen der empfohlenen ,Objektorientierte Programmierung ,,wie der möglichen Risiken des Umgangs mit ausgewählten ,Seite 195   Inhaltsverzeichnis , ,, 
,,,,,,,,,,,Studi-umsdokumente des jeweiligen Studiengangs. ,,Literatur ,"Kommunikationssysteme, (Netze) ",,interaktiven Medien kennen- und einschätzen lernen. Dazu ,     ,Mündliche Prüfung/Klausur zur Vorlesung; ,, 
,,,,,,,,,,, ,,•50 h Nachbereitung der Vorlesung – Ausarbeitung eines , ,,gehören u.a. empirische und theoretische Analysen von sozialen , ,praktische Belegaufgaben zu Übung und Praktikum ,, 
,,,,,,,,,,, ,,wissenschaftlichen Short Papers/Posters ,Angestrebte ,,und kulturellen Phänomenen im Kontext der Computerspiele ,"Der Kurs ist eine Einführung in die angewandte Ontologie, mit ", ,,Seite 220   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: B.Sc. CV - WPF Computervisualistik ,, ,Lernergebnisse:  ,,(offline wie online) ,einem speziellen Fokus auf die logischen Grundlagen von ,Exam: oral ,,     
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,Präsenzzeiten = 40 h:  , ,, ,Ontologiesprachen. , ,, 
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,•40 h Vorlesung   ,Der Kurs ist in die folgenden Teile gegliedert: ,, , , ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,Selbstständiges Arbeiten = 50 h:  ,Vermittlung der Grundlagen für verteilte Anwendungen ,,You have an overview of basic problems and methods in ,Die Gestaltungsperspektive , ,, 
,,,,,,,,,,,Brückenmodul:  laut Brückenmodulkatalog von jedem ,,•50 h Vor- und Nachbereitung der Vorlesung ,Struktur und Verhalten von Middleware-Konzepten ,,parameter and state estimation for mobile systems.You , ,Seite 483   Inhaltsverzeichnis ,, 
,,,,,,,,,,,Studiengang ,, ,Anwendung objektorientierter Methoden auf Middleware ,,understand how to develop kinematic models for mobile robots , ,     ,, 
,,,,,,,,,,, ,,Präsenzzeiten = 34 h:  ,Vorstellung des objektorientierten Middlewarekonzeptes DOME ,,and how to derive discrete-time prediction models.You are ,Seite 197   Inhaltsverzeichnis , ,, 
,,,,,,,,,,, ,,•28 h Übung  ,(Distributed Object Model Environment) ,,familiar with the required mathematical tools and can derive ,     , ,, 
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,•6 h Sprint Meetings ,Vorlesung: 3 ,,and apply least-squares methods for localization and tracking of , ,"Schriftliche Prüfung, 120 Min. ",,Seite 222   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,  ,Praktikum: 2 ,,"mobile systems, e.g., based on distance measurements.You ","Wertorientiertes Denken, Proaktivität, Leadership Entde-cken, ",Schein ,,     
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,Selbstständiges Arbeiten = 146 h:  ,Voraussetzungen nach ,,have a good understanding of Kalman filtering and its nonlinear ,Gestalten und Verfolgen einer Gelegenheit Motiva-tion: ,Vorleistungen entsprechend Angabe zum Semesterbeginn ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,•146 h Bearbeiten eines Projektes (innerhalb von 12 Wochen) ,Prüfungsordnung: ,,generalizations for dynamic state estimation and localization of ,Entwicklung einer Geschäftsidee. Fundamentale Konzepte und , ,, 
,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,         oUmsetzung eines Projektes mit Focus auf die Nutzung ,Bestandene Klausur Mikrobiologie ist Voraussetzung für ,,mobile systems. ,Prinzipien der BWL Vermittlung der betriebswirtschaftlichen ,Mündliche Prüfung ,, 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,einer In-Memory Datenbank ,Teilnahme am Praktikum ,, ,Sichtweise. , ,, 
,,,,,,,,,,,FIN: M.Sc. DKE - Data Processing for Data Science ,, ,5 ,, , Angebot und Nachfrage auf Märkten , ,, 
,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,Präsenzzeit: ,Voraussetzungen nach ,, ,Allgemeines Verständnis von Preisbildung Nachfrageanalyse. ,Seite 487   Inhaltsverzeichnis ,, 
,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,"Vorlesungen: 2 SWS, Übungen: 1 SWS ",Prüfungsordnung: ,,Seite 239   Inhaltsverzeichnis ,Berechnung und Umgang mit Elastizitäten. ,     ,, 
,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,Selbstständiges Arbeiten: , ,,     ,Individualverhalten und ökonomische Entscheidungen , ,,Seite 224   Inhaltsverzeichnis 
,,,,,,,,,,, ,,"Vor-und Nachbereiten der Lehrveranstaltungen, ",5 ,, ,Der Produktionsprozess und Kosten , ,,     
,,,,,,,,,,, ,,Literaturstudium ,Voraussetzungen nach ,,Ethik als philosophische Disziplin erkennenFragestellungen der ,Perspektive: das Unternehmen als produktives System.Markt- , ,, 
,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,Präsenzzeiten: ,Prüfungsordnung: ,,Ethik einordnen können ,und Branchenstrukturen ,Leistungen: ,,siehe Script 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,2 SWS Vorlesung , ,,Aspekte der Digitalisierung als ethische Herausforderung ,Marktformen und strategisches Marktverhalten ,Regelmäßige Teilnahme an Vorlesung und Übungen ,, 
,,,,,,,,,,,FIN: M.Sc. DKE - Data Processing for Data Science ,,1 SWS Übung ,5 CP ,,begreifen ,Marktmacht und Preisstrategien ,Erfolgreiche Bearbeitung einer Programmieraufgabe ,, 
,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,Selbständiges Arbeiten: ,Voraussetzungen nach ,, ,Die Organisation des Unternehmens ,Prüfung: Klausur 120 min ,, 
,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,"Nachbereitung der Vorlesung, selbständige Projekt- und ",Prüfungsordnung: ,,Anwendung von adäquaten Modellierungstechniken zum ,Perspektive: Das Unternehmen als Kooperationsform , ,, 
,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,Übungsarbeit außerhalb der eigentlichen Übungstermine  , ,,Entwurf von Evolutionären AlgorithmenAnwendung der ,Aspekte der Unternehmensgestaltung und der strategischen , ,, 
,,,,,,,,,,, ,,4 Credit Points = 120 h = 3 SWS = 42 h Präsenzzeit + 78 h ,6 ,,Methoden der Numerischen Optimierung zur Problemlösung ,Unternehmensführung ,Klausur 2 Std. ,, 
,,,,,,,,,,, ,,selbstständige Arbeit ,Voraussetzungen nach ,,Bewertung und Anwendung evolutionärer Programmierung zur , , ,,Seite 226   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,, ,Prüfungsordnung: ,,Analyse komplexer Systeme ,Einführung in Digital Humanities (Geisteswissenschaften-Sicht) ,Klausur 2 Std. ,,     
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,Time of attendance = 56 hours: , ,,Befähigung zur Entwicklung von Evolutionären Algorithmen , Einführung in Digital Humanities (Informatik-Sicht) , ,, 
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,2 SWS lecture ,3 ,, , Linguistik und sprachliche Verarbeitung ,Prüfungsleistung / -form: Referat ,,"Vorwiegend wissenschaftliche Artikel, s. FPM-Webseite "
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,2 SWS exercise ,Voraussetzungen nach ,, , Daten und Wissensrepräsentation ,Das Referat umfasst eine eigenständige und vertiefte schriftliche ,, 
,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,Bachelor: Independent work = 94 hours: ,Prüfungsordnung: ,, , Interdisziplinäre Arbeit und Kommunikation ,Auseinandersetzung mit einem Problem aus dem ,, 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,Pre- and post-work for lecture and exercise , ,,Seite 244   Inhaltsverzeichnis , Digital Humanities Projekte: International TextbookCat / Welt ,Arbeitszusammenhang der Lehrveranstaltung unter ,, 
,,,,,,,,,,,FIN: M.Sc. DKE - Data Processing for Data Science ,,Solving exercise tasks ,4 ,,     ,der Kinder / World Views ,"Einbeziehung und Auswertung einschlägiger Literatur, sowie die ",, 
,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,Master: Independent work = 124 hours: ,Voraussetzungen nach ,, , Visualisierung und Interaktion mit daten und Wissen ,Darstellung der Arbeit und die Vermittlung ihrer Ergebnisse im ,, 
,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,Pre- and post-work for lecture and exercise ,Prüfungsordnung: ,,- Anwendung der Methoden der Computational Intelligence zur ,Grundkonzepte in JavaFunktionen ,mündlichen Vortrag sowie in der anschließenden Diskussion. ,, 
,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,Solving exercise tasks , ,,Problemlösung in multi-kriterieller Optimierung ,Objektorientierte Programmierung ,Die Ausarbeitungen müssen schriftlich vorliegen ,,Seite 228   Inhaltsverzeichnis 
,,,,,,,,,,, ,,additional practical exercise ,5 ,,- Befähigung zur Entwicklung der Algorithmen ,Programmierparadigmen , ,,     
,,,,,,,,,,, ,, ,Voraussetzungen nach ,,- Fundiertes Wissen im Bereich der multi-kriteriellen ,Ausgewählte Algorithmen: Suchen und Sortieren ,Leistungen: ,, 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,Präsenzzeit = 56 Stunden: ,Prüfungsordnung: ,,Optimierung ,Analyse von Algorithmen: Korrektheit und Komplexität ,Regelmäßige Teilnahme an den Vorlesungen ,,"Günter Bamberg, Adolf G. Coenenberg (2008) "
,,,,,,,,,,, ,,2 SWS Vorlesung , ,, ,Grundlegende Datenstrukturen und abstrakte Datentypen ,Lösen der Übungsaufgaben und erfolgreiche Präsentation in den ,,"Betriebswirtschafliche Entscheidungslehre, 14. Aufl.Eisenführ, "
,,,,,,,,,,, ,,2 SWS Übung ,Bachelor: 5 ,,Lernziele & zu erwerbende Kompetenzen: , ,Übungen ,,"F.; Weber, M.; Langer, T. (2010): Rationales Entscheiden, 5. Aufl. "
,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Konstruktion & Design ,,Selbständige Arbeit = 94 Stunden: ,Master: 6 ,,Möglichkeiten und Grenzen der gängigen Methoden , ,Prüfung: mündlich (auch für Schein) ,,"Laux, H.; Gillenkirch, R.M.; Schenk-Mathes, H.Y. (2014) "
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,Vor- und Nachbearbeitung von Vorlesung und Übung , ,,neurobiologischer Lernforschung an Menschen und Tieren. ,Seite 200   Inhaltsverzeichnis , ,,"Entscheidungstheorie, 9. Aufl. "
,,,,,,,,,,, ,,Bearbeiten von Übungs- und Programmieraufgaben ,Voraussetzungen nach ,,"Grundlegende Kenntnisse über Reinforcementmodelle, ",     ,Prüfung in mündlicher Form: Ankündigung der notwendigen ,, 
,,,,,,,,,,, ,, ,Prüfungsordnung: ,,"Kategorie- und Sequenzlernen, Arbeitsgedächtnis. ", ,Vorleistungen in der ersten Veranstaltungswoche und auf der ,, 
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,Präsenzzeiten: 2 SWS Vorlesung + 2 SWS Übung , ,, ,Berechenbarkeit und Entscheidbarkeit ,Vorlesungswebseite; ,, 
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,Selbstständiges Arbeiten: ,4 ,,Vermittlung von Kenntnissen über Methoden und Technologien , ,Schein (mündlich): Ankündigung der notwendigen Vorleistungen ,, 
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,Vor- und Nachbearbeitung der Vorlesung ,Voraussetzungen nach ,,zum Entwurfs und zur Implementierung von , ,in der ersten Veranstaltungswoche und auf der ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,Entwicklung von Lösungen für die Übungsaufgaben ,Prüfungsordnung: ,,Fabrikautomationssystemen; Vermittlung der Möglichkeiten ,1. Einführung in die Kommunikationstechnik ,Vorlesungswebseite ,, 
,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,Vorbereitung für die Abschlussprüfung , ,,und Grenzen der Anwendung von Fabrikautomationssystemen; ,Mathematische Darstellung der Signale als Informationsträger , ,,Seite 230   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,,6 Credit Points = 180h = 4 SWS = 56h Präsenzzeit + 124h ,3 ,,Vermittlung praktischer Fähigkeiten zur Programmierung ,im Zeit- und Frequenzbereich (Fourier-Reihe und Fourier-, ,,     
,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Fundamentals ,,selbständige Arbeit ,Voraussetzungen nach ,,speicherprogrammierbarer Steuerungen ,Transformation) , ,, 
,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,, ,Prüfungsordnung: ,, ,Die Abtasttheorie und die Digitalisierung der Signale ,Seite 497   Inhaltsverzeichnis ,, 
,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,Präsenzzeiten: , ,,Beherrschung einer systemischen Betrachtungsweise ,Quellencodierung und Datenkompression ,     ,, 
,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,2 SWS Vorlesung/2 SWS Übung ,6 ,,industrieller FabrikabläufeErringung eines ganzheitlichen ,Mathematische Beschreibung des Rauschens , ,, 
,,,,,,,,,,,FMA: WPF CMA ,,Selbständige Arbeit: ,Voraussetzungen nach ,,Verständnisses für Fabrikabläufe mit Hilfe eines ,Rauschverhalten der Übertragungskanäle; Berechnung der , ,, 
,,,,,,,,,,,M 2-4 (Modul 2 bzw. 5) FMA: WPF MA ,,Nachbereiten der Vorlesung ,Prüfungsordnung: ,,Expikationsmodells für unterschiedliche Situationen und ,Bitfehlerrate ,allgemein:unbenoteter Leistungsnachweis ,, 
,,,,,,,,,,,D-AFIF ab 8 (Modul 10 oder 14) ,,Lösen von Übungsaufgaben , ,,Planungsfälle ,Behandlung ausgewählter digitaler Übertragungssysteme im ,Bei Einordnung unter:FIN: B.Sc. WIF - WPF Verstehen & ,, 
,,,,,,,,,,, ,,Projektentwicklung ,6 ,,Beurteilung der Methoden und Verfahren im Themengebiet ,"Basis-band (PCM, DPCM, ....) ",Gestalten: Wissenschaftliche Projektarbeit (benoteter ,,Seite 232   Inhaltsverzeichnis 
,,,,,,,,,,, ,,150h = 4 SWS = 56h Präsenzzeit + 94h selbstständige Arbeit ,Voraussetzungen nach ,,„Factory Operations“ hinsichtlich Einsatzgebiete und ,Behandlung ausgewählter digitaler Übertragungssysteme im ,Leistungsnachweis) ,,     
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,, ,Prüfungsordnung: ,,Praxistauglichkeit ,"Pass-band (ASK, PSK, FSK, QAM, ....) ", ,, 
,,,,,,,,,,,FIN: B.Sc. INF - Pflichtfächer ,,Präsenzzeiten: , ,, ,2. Informations- und Codierungstheorie ,Leistungen: ,, 
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,wöchentliche Vorlesungen 2 SWS ,5 CP ,,Vertiefte Kenntnisse des Aufbaus und der Funktion heutiger ,Informationsgehalt und Entropie diskreter Informationsquellen. ,Bearbeitung der Übungs- und Programmieraufgaben ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,wöchentliche Übungen 2 SWS , ,,Assistenzsysteme für Fahrsicherheit und FahrkomfortPrognose ,"Redundanz, Gedächtnis und Quellencodierung (Shannon-Fano- ",Prüfung: mündlich ,, 
,,,,,,,,,,,PF IT ,,Selbstständiges Arbeiten: ,Voraussetzungen nach ,,über die Weiterentwicklung heutiger Fahrerassistenzsysteme ,und Huffmann-Verfahren). , ,, 
,,,,,,,,,,,"D-IE 5, PF IT ",,Übungsaufgaben & Prüfungsvorbereitung ,Prüfungsordnung: ,,auf dem Weg zum autonomen Fahren ,Kontinuierliche Quellen. , ,, 
,,,,,,,,,,,D-TIF 5 WPF MA ,,180h (56h Präsenzzeit in den Vorlesungen & Übungen + 124h , ,, ,"Diskrete und kontinuierliche Kanäle, Kanalentropien und ", ,, 
,,,,,,,,,,,D-AFIF ab 5 (Modul 10.3-B) WPF SPTE ,,selbstständige Arbeit) ,5 CP ,,Lernziele & zu erwerbende Kompetenzen: ,Kanalkapazität , ,,Seite 234   Inhaltsverzeichnis 
,,,,,,,,,,,D ab 5 ,,30h , ,,Grundlegendes Verständnis der praxisüblichen ,Kanalcodierung und Hamming-Raum , ,,     
,,,,,,,,,,, ,, ,Voraussetzungen nach ,,Fertigungsverfahren ,Lineare Blockcodes ,Seite 503   Inhaltsverzeichnis ,, 
,,,,,,,,,,, ,,"Betreute Projektarbeit, Teamarbeit, Selbststudium, ",Prüfungsordnung: ,,"Grundkenntnisse der Werkzeugmaschinen, Werkzeuge, ",Zyklische Codes ,     ,,Vgl. Angaben in der Einführungsvorlesung 
,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,Präsentationen , ,,Vorrichtungen und Spannmittel ,Syndromdecodierung , ,, 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,180h = 12 Wochen a 14 Stunden ,Bachelor: 5 ,,Studenten besitzen Kenntnisse der theoretische Grundlagen der , , ,, 
,,,,,,,,,,,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,, ,Master: 6 ,,Fertigung und ihrer Berechnungsmethoden und können diese , ,"Examinations: student talk, seminar paper (10 pages) ",, 
,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Methods I ,, , ,,anwenden ,Bildgebung ist heutzutage die wichtigste medizinische , ,, 
,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,In class teaching: ,Voraussetzungen nach ,, ,Diagnostikform. Die Wahl der richtigen Modalität mit Abwägung , ,, 
,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,* 2 SWS lecture / 2 SWS exercise ,Prüfungsordnung: ,,Lernziele und zu erwerbende Kompetenzen: ,der Vor- und Nachteile sowie die Einstellung der optimalen ,Übungsaufgaben und Klausur ,, 
,,,,,,,,,,,FIN: M.Sc. VC - Computer Science ,,Self-study: , ,,Erwerb von Grundkenntnisse zum Einsatzes von Messgeräten in ,Parameter ist eine zentrale Aufgabe. ,Die genauen Voraussetzungen für die Teilnahme an der Prüfung ,,Seite 236   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik ,,* Self-study of lecture material ,3 ,,der Fertigung , ,werden zu Beginn Veranstaltung bekanntgegeben. ,,     
,,,,,,,,,,, ,,* Solution of exercises and assignments ,Voraussetzungen nach ,,Befähigung zur Planung und Durchführung von Erfassungen der , , ,, 
,,,,,,,,,,, ,, ,Prüfungsordnung: ,,"Oberflächen-, Form- und Lageabweichungen ",Seite 204   Inhaltsverzeichnis , ,, 
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,180 h (70 h contact hours + 110 h complementary reading and , ,,Zusammenfassung und Auswertung von Messwerten durch ,     ,"Prüfung in schriftlicher Form, Umfang: 120 Minuten, ",, 
,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Computerspiele ,,realization of the exercises/assignments) ,3 credit points = 90 h (28 h attendance time + 62 h independent ,,statistische Verfahren , ,Ankündigung der notwendigen Vorleistungen in der ersten ,, 
,,,,,,,,,,,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - FIN SMK ,,Times of presence:Weekly lectures: 2 SWS ,"work), grading scale according to examination regulations ",,Vermittlung von Kenntnissen zur qualitätsorientierten Regelung ,In dieser Veranstaltung wird eine Übersicht über die ,Veranstaltungswoche und auf der Vorlesungswebseite Schein ,, 
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,project meetings: 2 SWS , ,,von Fertigungsprozessen ,Modalitäten der modernen medizinischen Bildgebung gegeben. ,"(schriftlich), ",, 
,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - Computer Games ,,Home work:project development in small groups (2-3) ,Voraussetzungen nach ,, ,"Dabei wird das Prinzip, die Funktionsweise sowie die wichtigsten ",Ankündigung der notwendigen Vorleistungen in der ersten ,, 
,,,,,,,,,,,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - FIN SMK ,,repetition of the lecture topics ,Prüfungsordnung: ,, ,medizinischen Anwendungen vorgestellt und die Vor- und ,Veranstaltungswoche und auf der Vorlesungswebseite ,,Seite 238   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,150h (56h Präsenzzeit + 94h selbstständige Arbeit Notenskala ,none ,,Lernziele und zu erwerbende Kompetenzen ,Nachteile bezüglich der Bildqualität und Risiken für den , ,,     
,,,,,,,,,,,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - FIN ,,gemäß Prüfungsordnung , ,,Nach Absolvieren der Lehrveranstaltung ist der Student in der ,Patienten diskutiert. ,Prüfung: Mündliche Prüfung ,, 
,,,,,,,,,,,SMK ,, ,6 CP ,,"Lage, ausgehenden von der Rohteilauswahl über die Festlegung ",Inhalte: , ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,300h (84h contact hours + 216h self-study) , ,,der technologischen Basen die Fertigungsschritte für maschinen-,Röntgendurchleuchtung , ,,Literature will be announced in the lecture 
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden - FIN SMK ,,contact hours: 2 SWS lecture + 2 SWS theory exercise groups + 2 ,Voraussetzungen nach ,,bautypische Bauteile zu konzipieren. Er hat Kenntnisse über den ,Computertomographie ,Oral exam ,, 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,SWS practice exercise groups ,Prüfungsordnung: ,,Ablauf von Montage- und Demontageverrichtungen und ,"Nukleare medizinische Bildgebung (PET, SPECT) ", ,, 
,,,,,,,,,,, ,,"self-study comprises reading assignments (flipped classroom), ", ,,Einordnung von qualitätssichernden Maßnahmen in den ,Kernspintomographie , ,, 
